ID_num,TgroupID,GgroupID,sex,beak,thorax,wing,body,w_morph,recorder,computer,date_recorded_by_hand,data_recorded_on_excel,notes
435,T14,G41,M,6.06,3.49,9.33,12.13,L,Ana ,yes,9.27.19,10.17.19,peach
365,NA,G42,M,5.48,2.92,8.40,11.32,L,Ana ,yes,9.27.19,10.17.19,peach
377,T18,G42,M,5.71,3.03,8.63,11.21,L,Ana ,yes,9.27.19,10.17.19,teal
425,T8,G43,M,5.32,3.25,8.47,11.11,L,Ana ,yes,9.27.19,10.17.19,peach
429,NA,G43,M,5.12,2.81,4.74,7.56,S,Ana ,yes,9.27.19,10.17.19,peach
507,NA,G44,M,5.87,3.24,9.15,12.05,L,Ana ,yes,9.27.19,10.17.19,peach
511,NA,G44,M,5.20,2.86,5.55,8.68,S,Ana ,yes,9.27.19,10.17.19,teal
412,NA,G45,M,5.84,3.21,8.65,11.32,L,Ana,yes,10.02.19,10.17.19,teal
418,NA,G45,M,5.25,3.12,5.06,7.95,S,Ana,yes,10.02.19,10.24.19,peach
446,NA,G46,M,5.17,2.92,5.78,8.93,S,Ana,yes,10.02.19,10.24.19,teal
451,NA,G46,M,5.32,3.20,8.48,11.10,L,Ana,yes,10.02.19,10.24.19,peach
479,NA,G47,M,5.52,3.23,8.73,11.85,L,Ana,yes,10.02.19,10.24.19,peach
489,NA,G47,M,5.00,3.21,6.12,8.86,S,Ana,yes,10.02.19,10.24.19,teal
400,NA,G48,M,6.03,3.27,8.86,11.97,L,Ana,yes,10.02.19,10.24.19,peach
405,NA,G48,M,5.71,3.38,8.78,11.92,L,Ana,yes,10.02.19,10.24.19,teal
430,NA,G49,M,5.33,3.12,7.97,10.59,L,Ana,yes,10.02.19,10.24.19,teal
437,NA,G49,M,5.72,3.10,9.26,12.42,L,Ana,yes,10.02.19,10.24.19,peach
464,NA,G50,M,4.86,2.78,5.19,8.00,S,Ana,yes,10.03.19,10.24.19,teal
514,NA,G50,M,5.81,3.44,9.20,12.05,L,Ana,yes,10.03.19,10.24.19,peach
408,NA,G51,M,5.71,3.34,8.52,11.57,L,Ana,yes,10.03.19,10.24.19,peach
403,NA,G51,M,5.99,3.30,9.03,11.89,L,Ana,yes,10.03.19,10.24.19,teal
443,NA,G52,M,5.56,3.30,8.59,11.75,L,Ana,yes,10.03.19,10.24.19,teal
445,NA,G52,M,5.61,3.26,8.67,11.59,L,Ana,yes,10.03.19,10.24.19,teal
452,NA,G52,M,5.17,3.04,5.03,7.71,S,Ana,yes,10.03.19,10.24.19,peach
386,NA,G53,M,5.62,3.15,8.79,11.47,L,Ana,yes,10.03.19,10.24.19,teal
383,NA,G53,M,5.60,3.13,8.87,11.72,L,Ana,yes,10.03.19,10.24.19,peach
537,NA,G54,M,5.57,3.18,8.56,11.21,L,Ana,yes,10.03.19,10.24.19,peach
438,NA,G54,M,5.54,3.19,8.77,11.29,L,Ana,yes,10.7.19,10.24.19,teal
555,NA,G55,M,5.68,3.35,8.78,11.98,L,Ana,yes,10.7.19,10.24.19,peach
553,NA,G55,M,5.93,3.10,8.92,11.74,L,Ana,yes,10.7.19,10.24.19,teal
503,NA,G56,M,6.10,3.20,8.89,11.72,L,Ana,yes,10.7.19,10.24.19,teal
488,NA,G56,M,5.12,3.03,5.57,7.80,S,Ana,yes,10.8.19,10.24.19,peach
381,NA,G57,M,5.07,2.88,4.96,7.67,S,Ana,yes,10.8.19,10.24.19,peach
388,NA,G57,M,5.29,2.94,4.98,7.77,S,Ana,yes,10.8.19,10.24.19,teal
422,NA,G58,M,5.34,3.04,7.73,10.43,L,Ana,yes,10.9.19,10.24.19,teal
420,NA,G58,M,5.75,3.29,8.74,11.50,L,Ana,yes,10.9.19,10.24.19,peach
524,NA,G59,M,5.15,3.04,4.92,7.42,S,Ana,yes,10.9.19,10.24.19,peach
395,NA,G59,M,6.37,3.38,9.22,11.93,L,Ana,yes,10.9.19,10.24.19,teal
510,NA,G60,M,5.14,2.80,5.77,8.28,S,Ana,yes,10.9.19,10.24.19,teal
508,NA,G60,M,5.83,3.18,8.82,11.68,L,Ana,yes,10.9.19,10.24.19,peach
502,NA,G61,M,6.28,3.24,8.92,11.74,L,Ana,yes,10.9.19,10.24.19,peach
537,NA,G61,M,5.70,3.33,8.64,10.98,L,Ana,yes,10.9.19,10.24.19,teal
461,NA,G62,M,5.45,3.21,8.41,11.05,L,Ana,yes,10.11.19,10.24.19,teal
456,NA,G62,M,5.75,3.17,8.64,11.25,L,Ana,yes,10.11.19,10.24.19,peach
536,NA,G63,M,5.58,3.16,8.69,11.87,L,Ana,yes,10.11.19,10.24.19,peach
538,NA,G63,M,5.29,3.21,7.99,10.45,L,Ana,yes,10.13.19,10.24.19,teal
387,NA,G64,M,5.62,3.20,8.70,11.31,L,Ana,yes,10.13.19,10.24.19,teal
382,NA,G64,M,5.14,3.01,5.38,7.99,S,Ana,yes,10.13.19,10.24.19,peach
494,NA,G65,M,6.03,3.27,8.81,11.30,L,Ana,yes,10.13.19,10.24.19,teal
487,NA,G65,M,5.55,3.26,8.51,11.28,L,Ana,yes,10.14.19,10.24.19,peach
559,NA,G66,M,5.65,3.11,11.47,8.87,L,Ana,yes,10.14.19,10.24.19,peach
500,NA,G66,M,5.58,3.38,8.52,11.43,L,Ana,yes,10.14.19,10.24.19,teal
468,NA,G67,M,5.58,3.03,8.47,11.28,L,Ana,yes,10.14.19,10.24.19,teal
470,NA,G67,M,5.34,3.04,6.49,9.04,L,Ana,yes,10.14.19,10.24.19,peach
556,NA,G68,M,5.91,3.14,8.64,11.04,L,Ana,yes,10.21.19,10.24.19,teal
552,NA,G68,M,5.91,3.04,8.45,11.30,L,Ana,yes,10.21.19,10.24.19,peach
343,T20,NA,M,6.66,3.45,9.33,12.19,L,Ana,yes,10.21.19,10.24.19,teal
356,T20,NA,M,5.28,3.00,6.36,8.76,S,Ana,yes,10.21.19,10.24.19,peach
